dx,dy,action
81,105,RIGHT
76,105,RIGHT
71,105,DOWN
66,100,DOWN
61,95,DOWN
56,90,DOWN
51,85,DOWN
46,80,DOWN
41,75,DOWN
36,70,DOWN
31,65,DOWN
26,60,DOWN
21,55,DOWN
16,50,DOWN
11,45,DOWN
6,40,DOWN
6,35,DOWN
6,30,DOWN
195,-94,DOWN
195,-99,DOWN
195,-104,DOWN
195,-109,DOWN
195,-114,DOWN
200,-119,DOWN
205,-124,DOWN
210,-129,LEFT
215,-129,LEFT
220,-129,LEFT
225,-129,LEFT
230,-129,LEFT
235,-129,LEFT
240,-129,LEFT
245,-129,LEFT
250,-129,LEFT
255,-129,LEFT
260,-129,LEFT
265,-129,LEFT
270,-129,LEFT
275,-129,LEFT
280,-129,LEFT
285,-129,LEFT
290,-129,LEFT
295,-129,UP
300,-124,UP
305,-119,UP
305,-114,UP
305,-109,UP
305,-104,UP
305,-99,UP
305,-94,UP
305,-89,UP
305,-84,UP
305,-79,UP
305,-74,UP
300,-69,UP
295,-64,UP
290,-59,UP
285,-54,UP
280,-49,UP
275,-44,RIGHT
270,-44,RIGHT
265,-44,RIGHT
260,-44,RIGHT
255,-44,RIGHT
250,-44,RIGHT
245,-44,RIGHT
240,-44,RIGHT
235,-44,RIGHT
230,-44,RIGHT
225,-44,RIGHT
220,-44,RIGHT
215,-44,RIGHT
210,-44,RIGHT
205,-44,RIGHT
200,-44,RIGHT
195,-44,RIGHT
190,-44,RIGHT
185,-44,RIGHT
180,-44,RIGHT
175,-44,RIGHT
170,-44,RIGHT
165,-44,RIGHT
160,-44,RIGHT
155,-44,RIGHT
150,-44,RIGHT
145,-44,RIGHT
140,-44,RIGHT
135,-44,RIGHT
130,-44,RIGHT
125,-44,RIGHT
120,-44,RIGHT
115,-44,RIGHT
110,-44,RIGHT
105,-44,RIGHT
100,-44,RIGHT
95,-44,RIGHT
90,-44,RIGHT
85,-44,RIGHT
80,-44,RIGHT
75,-44,RIGHT
70,-44,RIGHT
65,-44,RIGHT
60,-44,RIGHT
55,-44,RIGHT
50,-44,RIGHT
45,-44,RIGHT
40,-44,RIGHT
35,-44,RIGHT
30,-44,UP
25,-39,UP
20,-34,UP
15,-29,UP
10,-24,UP
10,-19,UP
10,-14,UP
-299,-202,UP
-299,-197,UP
-299,-192,UP
-299,-187,UP
-299,-182,UP
-299,-177,UP
-299,-172,UP
-294,-167,UP
-289,-162,UP
-284,-157,UP
-279,-152,LEFT
-274,-152,LEFT
-269,-152,LEFT
-264,-152,LEFT
-259,-152,LEFT
-254,-152,LEFT
-249,-152,LEFT
-244,-152,LEFT
-239,-152,LEFT
-234,-152,LEFT
-229,-152,LEFT
-224,-152,LEFT
-219,-152,LEFT
-214,-152,LEFT
-209,-152,LEFT
-204,-152,LEFT
-199,-152,LEFT
-194,-152,LEFT
-189,-152,LEFT
-184,-152,LEFT
-179,-152,LEFT
-174,-152,LEFT
-169,-152,LEFT
-164,-152,LEFT
-159,-152,LEFT
-154,-152,LEFT
-149,-152,LEFT
-144,-152,LEFT
-139,-152,LEFT
-134,-152,LEFT
-129,-152,LEFT
-124,-152,LEFT
-119,-152,LEFT
-114,-152,LEFT
-109,-152,LEFT
-104,-152,LEFT
-99,-152,LEFT
-94,-152,LEFT
-89,-152,LEFT
-84,-152,LEFT
-79,-152,LEFT
-74,-152,LEFT
-69,-152,LEFT
-64,-152,LEFT
-59,-152,LEFT
-54,-152,LEFT
-49,-152,LEFT
-44,-152,LEFT
-39,-152,LEFT
-34,-152,LEFT
-29,-152,LEFT
-24,-152,LEFT
-19,-152,UP
-14,-147,UP
-9,-142,UP
-4,-137,UP
1,-132,UP
6,-127,UP
11,-122,UP
16,-117,UP
21,-112,UP
26,-107,UP
26,-102,UP
26,-97,UP
26,-92,UP
26,-87,UP
26,-82,UP
26,-77,UP
26,-72,UP
26,-67,UP
26,-62,UP
26,-57,UP
26,-52,UP
26,-47,UP
26,-42,UP
26,-37,UP
26,-32,UP
26,-27,UP
26,-22,UP
26,-17,UP
26,-12,UP
229,-146,UP
229,-141,UP
229,-136,UP
229,-131,UP
229,-126,UP
229,-121,UP
229,-116,UP
229,-111,UP
229,-106,UP
229,-101,UP
229,-96,UP
229,-91,UP
229,-86,RIGHT
224,-86,RIGHT
219,-86,RIGHT
214,-86,RIGHT
209,-86,RIGHT
204,-86,RIGHT
199,-86,RIGHT
194,-86,RIGHT
189,-86,RIGHT
184,-86,RIGHT
179,-86,RIGHT
174,-86,RIGHT
169,-86,RIGHT
164,-86,RIGHT
159,-86,RIGHT
154,-86,RIGHT
149,-86,RIGHT
144,-86,RIGHT
139,-86,RIGHT
134,-86,RIGHT
129,-86,RIGHT
124,-86,RIGHT
119,-86,RIGHT
114,-86,RIGHT
109,-86,RIGHT
104,-86,RIGHT
99,-86,RIGHT
94,-86,RIGHT
89,-86,RIGHT
84,-86,RIGHT
79,-86,RIGHT
74,-86,RIGHT
69,-86,RIGHT
64,-86,RIGHT
59,-86,RIGHT
54,-86,RIGHT
49,-86,UP
44,-81,UP
39,-76,UP
34,-71,UP
29,-66,UP
24,-61,UP
19,-56,UP
19,-51,UP
19,-46,UP
19,-41,UP
19,-36,UP
19,-31,UP
19,-26,UP
19,-21,UP
24,-16,UP
29,-11,UP
34,-6,LEFT
39,-6,LEFT
44,-6,LEFT
49,-6,LEFT
54,-6,LEFT
59,-6,LEFT
64,-6,LEFT
69,-6,LEFT
74,-6,LEFT
79,-6,LEFT
84,-6,LEFT
89,-6,LEFT
94,-6,LEFT
99,-6,LEFT
104,-6,LEFT
109,-6,LEFT
114,-6,LEFT
119,-6,LEFT
124,-6,LEFT
129,-6,LEFT
134,-6,LEFT
139,-6,LEFT
144,-6,LEFT
149,-6,LEFT
154,-6,LEFT
159,-6,LEFT
164,-6,LEFT
169,-6,RIGHT
164,-6,RIGHT
159,-6,RIGHT
154,-6,RIGHT
149,-6,RIGHT
144,-6,RIGHT
139,-6,RIGHT
134,-6,RIGHT
129,-6,RIGHT
124,-6,RIGHT
119,-6,RIGHT
114,-6,RIGHT
109,-6,RIGHT
104,-6,RIGHT
99,-6,RIGHT
94,-6,RIGHT
89,-6,RIGHT
84,-6,RIGHT
79,-6,RIGHT
74,-6,RIGHT
69,-6,RIGHT
64,-6,RIGHT
59,-6,RIGHT
54,-6,RIGHT
49,-6,RIGHT
44,-6,RIGHT
39,-6,RIGHT
34,-6,RIGHT
-543,209,RIGHT
-548,209,RIGHT
-553,209,RIGHT
-558,209,RIGHT
-563,209,RIGHT
-568,209,RIGHT
-573,209,RIGHT
-578,209,RIGHT
-583,209,RIGHT
-588,209,RIGHT
-593,209,RIGHT
-598,209,RIGHT
-603,209,RIGHT
-608,209,RIGHT
-613,209,RIGHT
-618,209,RIGHT
-623,209,RIGHT
-628,209,RIGHT
-633,209,RIGHT
-638,209,DOWN
-638,204,DOWN
-638,199,DOWN
-638,194,DOWN
-638,189,DOWN
-638,184,DOWN
-638,179,DOWN
-638,174,DOWN
-638,169,DOWN
-638,164,DOWN
-638,159,DOWN
-638,154,DOWN
-638,149,DOWN
-638,144,DOWN
-638,139,DOWN
-638,134,DOWN
-638,129,DOWN
-638,124,DOWN
-638,119,DOWN
-638,114,DOWN
-638,109,DOWN
-633,104,DOWN
-628,99,DOWN
-623,94,DOWN
-618,89,DOWN
-613,84,DOWN
-608,79,LEFT
-603,79,LEFT
-598,79,LEFT
-593,79,LEFT
-588,79,LEFT
-583,79,LEFT
-578,79,LEFT
-573,79,LEFT
-568,79,LEFT
-563,79,LEFT
-558,79,LEFT
-553,79,LEFT
-548,79,LEFT
-543,79,LEFT
-538,79,LEFT
-533,79,LEFT
-528,79,LEFT
-523,79,LEFT
-518,79,LEFT
-513,79,LEFT
-508,79,LEFT
-503,79,LEFT
-498,79,LEFT
-493,79,LEFT
-488,79,LEFT
-483,79,LEFT
-478,79,LEFT
-473,79,LEFT
-468,79,LEFT
-463,79,LEFT
-458,79,LEFT
-453,79,LEFT
-448,79,LEFT
-443,79,LEFT
-438,79,LEFT
-433,79,LEFT
-428,79,LEFT
-423,79,LEFT
-418,79,LEFT
-413,79,LEFT
-408,79,LEFT
-403,79,LEFT
-398,79,LEFT
-393,79,LEFT
-388,79,LEFT
-383,79,LEFT
-378,79,LEFT
-373,79,LEFT
-368,79,LEFT
-363,79,LEFT
-358,79,DOWN
-353,74,DOWN
-348,69,DOWN
-343,64,DOWN
-338,59,DOWN
-333,54,DOWN
-328,49,DOWN
-323,44,LEFT
-318,44,LEFT
-313,44,LEFT
-308,44,LEFT
-303,44,LEFT
-298,44,LEFT
-293,44,LEFT
-288,44,LEFT
-283,44,LEFT
-278,44,LEFT
-273,44,LEFT
-268,44,LEFT
-263,44,LEFT
-258,44,LEFT
-253,44,LEFT
-248,44,LEFT
-243,44,LEFT
-238,44,LEFT
-233,44,LEFT
-228,44,LEFT
-223,44,LEFT
-218,44,LEFT
-213,44,LEFT
-208,44,LEFT
-203,44,LEFT
-198,44,LEFT
-193,44,LEFT
-188,44,LEFT
-183,44,LEFT
-178,44,LEFT
-173,44,LEFT
-168,44,LEFT
-163,44,LEFT
-158,44,DOWN
-153,39,DOWN
-148,34,DOWN
-143,29,DOWN
-138,24,DOWN
-133,19,DOWN
-128,14,DOWN
-123,9,LEFT
-118,9,LEFT
-113,9,LEFT
-108,9,LEFT
-103,9,LEFT
-98,9,LEFT
-93,9,LEFT
-88,9,LEFT
-83,9,LEFT
-78,9,LEFT
-73,9,LEFT
-68,9,LEFT
-63,9,LEFT
-58,9,LEFT
-53,9,LEFT
-48,9,LEFT
-43,9,LEFT
-38,9,LEFT
-33,9,LEFT
-28,9,LEFT
-23,9,LEFT
-18,9,LEFT
-13,9,LEFT
540,173,LEFT
545,173,LEFT
550,173,LEFT
555,173,LEFT
560,173,LEFT
565,173,LEFT
570,173,LEFT
575,173,UP
575,178,UP
575,183,UP
575,188,UP
575,193,UP
575,198,UP
575,203,UP
575,208,UP
575,213,UP
575,218,UP
575,223,UP
575,228,UP
570,233,UP
565,238,UP
560,243,UP
555,248,UP
550,253,UP
545,258,UP
540,263,UP
535,268,UP
530,273,UP
525,278,UP
520,283,UP
515,288,RIGHT
510,288,RIGHT
505,288,RIGHT
500,288,RIGHT
495,288,RIGHT
490,288,RIGHT
485,288,RIGHT
480,288,RIGHT
475,288,RIGHT
470,288,RIGHT
465,288,RIGHT
460,288,RIGHT
455,288,RIGHT
450,288,RIGHT
445,288,RIGHT
440,288,RIGHT
435,288,RIGHT
430,288,RIGHT
425,288,RIGHT
420,288,RIGHT
415,288,RIGHT
410,288,RIGHT
405,288,RIGHT
400,288,RIGHT
395,288,RIGHT
390,288,RIGHT
385,288,RIGHT
380,288,RIGHT
375,288,RIGHT
370,288,RIGHT
365,288,RIGHT
360,288,RIGHT
355,288,RIGHT
350,288,RIGHT
345,288,RIGHT
340,288,RIGHT
335,288,RIGHT
330,288,RIGHT
325,288,RIGHT
320,288,RIGHT
315,288,RIGHT
310,288,RIGHT
305,288,RIGHT
300,288,RIGHT
295,288,RIGHT
290,288,RIGHT
285,288,RIGHT
280,288,RIGHT
275,288,RIGHT
270,288,RIGHT
265,288,DOWN
260,283,DOWN
255,278,DOWN
250,273,DOWN
245,268,DOWN
240,263,DOWN
235,258,DOWN
230,253,DOWN
225,248,DOWN
220,243,DOWN
215,238,DOWN
210,233,DOWN
205,228,DOWN
200,223,RIGHT
195,223,RIGHT
190,223,RIGHT
185,223,RIGHT
180,223,RIGHT
175,223,RIGHT
170,223,RIGHT
165,223,RIGHT
160,223,RIGHT
155,223,RIGHT
150,223,RIGHT
145,223,RIGHT
140,223,RIGHT
135,223,RIGHT
130,223,DOWN
125,218,DOWN
120,213,DOWN
115,208,DOWN
110,203,DOWN
105,198,DOWN
100,193,RIGHT
95,193,RIGHT
90,193,RIGHT
85,193,RIGHT
80,193,RIGHT
75,193,RIGHT
70,193,RIGHT
65,193,RIGHT
60,193,RIGHT
55,193,DOWN
50,188,DOWN
45,183,DOWN
40,178,DOWN
35,173,DOWN
30,168,DOWN
25,163,DOWN
20,158,DOWN
20,153,DOWN
20,148,DOWN
20,143,DOWN
20,138,DOWN
20,133,DOWN
20,128,DOWN
20,123,DOWN
20,118,DOWN
20,113,DOWN
20,108,DOWN
20,103,DOWN
20,98,DOWN
20,93,DOWN
20,88,DOWN
20,83,DOWN
20,78,DOWN
20,73,DOWN
25,68,DOWN
30,63,DOWN
35,58,DOWN
40,53,DOWN
45,48,LEFT
50,48,LEFT
55,48,LEFT
60,48,LEFT
65,48,LEFT
70,48,LEFT
75,48,LEFT
80,48,LEFT
85,48,LEFT
90,48,LEFT
95,48,LEFT
100,48,LEFT
105,48,LEFT
110,48,LEFT
115,48,LEFT
120,48,LEFT
125,48,LEFT
130,48,LEFT
135,48,LEFT
140,48,RIGHT
135,48,RIGHT
130,48,RIGHT
125,48,RIGHT
120,48,RIGHT
115,48,RIGHT
110,48,RIGHT
105,48,RIGHT
100,48,RIGHT
95,48,RIGHT
90,48,RIGHT
85,48,RIGHT
80,48,RIGHT
75,48,RIGHT
70,48,RIGHT
65,48,RIGHT
60,48,RIGHT
55,48,RIGHT
50,48,RIGHT
45,48,RIGHT
40,48,RIGHT
35,48,DOWN
30,43,DOWN
25,38,DOWN
20,33,DOWN
-611,-52,DOWN
-616,-57,DOWN
-621,-62,DOWN
-626,-67,DOWN
-626,-72,DOWN
-626,-77,DOWN
-626,-82,DOWN
-626,-87,DOWN
-621,-92,DOWN
-616,-97,DOWN
-611,-102,DOWN
-606,-107,DOWN
-601,-112,LEFT
-596,-112,LEFT
-591,-112,LEFT
-586,-112,LEFT
-581,-112,LEFT
-576,-112,LEFT
-571,-112,LEFT
-566,-112,LEFT
-561,-112,LEFT
-556,-112,LEFT
-551,-112,LEFT
-546,-112,LEFT
-541,-112,LEFT
-536,-112,LEFT
-531,-112,LEFT
-526,-112,LEFT
-521,-112,LEFT
-516,-112,LEFT
-511,-112,LEFT
-506,-112,LEFT
-501,-112,LEFT
-496,-112,LEFT
-491,-112,LEFT
-486,-112,LEFT
-481,-112,LEFT
-476,-112,LEFT
-471,-112,LEFT
-466,-112,LEFT
-461,-112,LEFT
-456,-112,LEFT
-451,-112,LEFT
-446,-112,LEFT
-441,-112,LEFT
-436,-112,LEFT
-431,-112,LEFT
-426,-112,LEFT
-421,-112,LEFT
-416,-112,LEFT
-411,-112,LEFT
-406,-112,LEFT
-401,-112,LEFT
-396,-112,LEFT
-391,-112,LEFT
-386,-112,LEFT
-381,-112,LEFT
-376,-112,LEFT
-371,-112,LEFT
-366,-112,LEFT
-361,-112,LEFT
-356,-112,LEFT
-351,-112,LEFT
-346,-112,LEFT
-341,-112,LEFT
-336,-112,LEFT
-331,-112,LEFT
-326,-112,LEFT
-321,-112,LEFT
-316,-112,LEFT
-311,-112,LEFT
-306,-112,LEFT
-301,-112,LEFT
-296,-112,LEFT
-291,-112,LEFT
-286,-112,LEFT
-281,-112,LEFT
-276,-112,LEFT
-271,-112,LEFT
-266,-112,LEFT
-261,-112,LEFT
-256,-112,LEFT
-251,-112,LEFT
-246,-112,LEFT
-241,-112,LEFT
-236,-112,LEFT
-231,-112,LEFT
-226,-112,LEFT
-221,-112,LEFT
-216,-112,LEFT
-211,-112,LEFT
-206,-112,LEFT
-201,-112,LEFT
-196,-112,LEFT
-191,-112,LEFT
-186,-112,LEFT
-181,-112,LEFT
-176,-112,LEFT
-171,-112,LEFT
-166,-112,LEFT
-161,-112,LEFT
-156,-112,LEFT
-151,-112,LEFT
-146,-112,LEFT
-141,-112,LEFT
-136,-112,LEFT
-131,-112,LEFT
-126,-112,LEFT
-121,-112,LEFT
-116,-112,LEFT
-111,-112,LEFT
-106,-112,LEFT
-101,-112,LEFT
-96,-112,LEFT
-91,-112,LEFT
-86,-112,LEFT
-81,-112,LEFT
-76,-112,LEFT
-71,-112,LEFT
-66,-112,LEFT
-61,-112,LEFT
-56,-112,LEFT
-51,-112,LEFT
-46,-112,LEFT
-41,-112,LEFT
-36,-112,LEFT
-31,-112,LEFT
-26,-112,LEFT
-21,-112,LEFT
-16,-112,LEFT
-11,-112,LEFT
-6,-112,LEFT
-1,-112,LEFT
4,-112,LEFT
9,-112,LEFT
14,-112,LEFT
19,-112,LEFT
24,-112,UP
29,-107,UP
34,-102,UP
34,-97,UP
34,-92,UP
34,-87,UP
34,-82,UP
34,-77,UP
34,-72,UP
34,-67,UP
34,-62,UP
34,-57,UP
34,-52,UP
34,-47,UP
34,-42,UP
34,-37,UP
34,-32,UP
34,-27,UP
34,-22,UP
34,-17,UP
34,-12,UP
34,-7,UP
34,-2,UP
34,3,UP
34,8,UP
34,13,UP
34,18,UP
34,23,UP
34,28,UP
34,33,RIGHT
29,33,RIGHT
24,33,RIGHT
19,33,RIGHT
14,33,RIGHT
9,33,RIGHT
4,33,RIGHT
-1,33,RIGHT
-6,33,RIGHT
-11,33,RIGHT
-16,33,RIGHT
-21,33,RIGHT
-26,33,RIGHT
-31,33,RIGHT
-36,33,RIGHT
-41,33,RIGHT
-46,33,RIGHT
-51,33,RIGHT
-56,33,DOWN
-61,28,DOWN
-61,23,DOWN
-61,18,DOWN
-61,13,DOWN
-61,8,DOWN
-61,3,DOWN
-56,-2,LEFT
-51,-2,LEFT
-46,-2,LEFT
-41,-2,LEFT
-36,-2,LEFT
-31,-2,LEFT
-26,-2,LEFT
-21,-2,LEFT
-16,-2,LEFT
-11,-2,LEFT
403,-213,LEFT
408,-213,LEFT
413,-213,LEFT
418,-213,UP
418,-208,UP
418,-203,UP
418,-198,UP
418,-193,UP
418,-188,UP
418,-183,UP
418,-178,RIGHT
413,-178,RIGHT
408,-178,RIGHT
403,-178,RIGHT
398,-178,RIGHT
393,-178,RIGHT
388,-178,RIGHT
