dx,dy,action
19,-56,LEFT
24,-56,LEFT
29,-56,LEFT
34,-56,UP
39,-51,UP
44,-46,UP
49,-41,UP
54,-36,UP
59,-31,UP
64,-26,UP
64,-21,UP
64,-16,UP
64,-11,UP
64,-6,UP
64,-1,UP
64,4,UP
64,9,UP
64,14,UP
64,19,UP
64,24,UP
64,29,UP
64,34,UP
64,39,UP
59,44,RIGHT
54,44,RIGHT
49,44,RIGHT
44,44,RIGHT
39,44,RIGHT
34,44,RIGHT
29,44,RIGHT
24,44,RIGHT
19,44,RIGHT
14,44,RIGHT
9,44,RIGHT
4,44,RIGHT
-1,44,RIGHT
-6,44,DOWN
-11,39,DOWN
-16,34,DOWN
-21,29,DOWN
-21,24,DOWN
-21,19,DOWN
-21,14,DOWN
-21,9,DOWN
-21,4,DOWN
-21,-1,DOWN
-21,-6,DOWN
-21,-11,DOWN
-21,-16,DOWN
-16,-21,DOWN
-11,-26,DOWN
-6,-31,DOWN
-1,-36,LEFT
4,-36,LEFT
9,-36,LEFT
14,-36,LEFT
19,-36,LEFT
24,-36,LEFT
29,-36,LEFT
34,-36,LEFT
39,-36,UP
44,-31,UP
49,-26,UP
54,-21,UP
54,-16,UP
54,-11,UP
54,-6,UP
54,-1,UP
54,4,RIGHT
49,4,RIGHT
44,4,RIGHT
39,4,RIGHT
34,4,RIGHT
174,-350,RIGHT
169,-350,RIGHT
164,-350,RIGHT
159,-350,RIGHT
154,-350,RIGHT
149,-350,UP
149,-345,UP
149,-340,UP
149,-335,UP
149,-330,UP
149,-325,UP
149,-320,UP
149,-315,UP
149,-310,UP
149,-305,UP
149,-300,UP
149,-295,UP
149,-290,UP
149,-285,UP
149,-280,UP
149,-275,UP
149,-270,UP
149,-265,UP
149,-260,UP
149,-255,UP
149,-250,UP
149,-245,UP
149,-240,UP
149,-235,UP
149,-230,UP
149,-225,UP
149,-220,UP
149,-215,UP
149,-210,UP
149,-205,UP
149,-200,UP
149,-195,UP
149,-190,UP
149,-185,UP
149,-180,UP
149,-175,UP
149,-170,UP
149,-165,UP
149,-160,UP
149,-155,UP
149,-150,UP
149,-145,UP
149,-140,UP
149,-135,UP
149,-130,UP
149,-125,UP
149,-120,UP
149,-115,UP
149,-110,UP
149,-105,UP
149,-100,UP
149,-95,UP
149,-90,UP
149,-85,UP
149,-80,UP
149,-75,UP
149,-70,UP
149,-65,UP
149,-60,UP
149,-55,UP
149,-50,UP
149,-45,UP
149,-40,UP
149,-35,UP
149,-30,UP
149,-25,UP
149,-20,UP
149,-15,UP
149,-10,UP
144,-5,RIGHT
139,-5,RIGHT
134,-5,RIGHT
129,-5,RIGHT
124,-5,RIGHT
119,-5,RIGHT
114,-5,RIGHT
109,-5,RIGHT
104,-5,RIGHT
99,-5,RIGHT
94,-5,RIGHT
89,-5,RIGHT
84,-5,RIGHT
79,-5,RIGHT
74,-5,RIGHT
69,-5,RIGHT
64,-5,RIGHT
59,-5,RIGHT
54,-5,RIGHT
49,-5,RIGHT
44,-5,RIGHT
39,-5,RIGHT
34,-5,RIGHT
-233,264,RIGHT
-238,264,RIGHT
-243,264,RIGHT
-248,264,RIGHT
-253,264,RIGHT
-258,264,RIGHT
-263,264,RIGHT
-268,264,RIGHT
-273,264,RIGHT
-278,264,RIGHT
-283,264,DOWN
-288,259,DOWN
-293,254,DOWN
-293,249,DOWN
-293,244,DOWN
-293,239,DOWN
-293,234,DOWN
-293,229,DOWN
-293,224,DOWN
-293,219,DOWN
-293,214,DOWN
-293,209,DOWN
-293,204,DOWN
-293,199,DOWN
-293,194,DOWN
-293,189,DOWN
-293,184,DOWN
-293,179,DOWN
-293,174,DOWN
-293,169,DOWN
-293,164,DOWN
-293,159,DOWN
-293,154,DOWN
-293,149,DOWN
-293,144,DOWN
-293,139,DOWN
-293,134,DOWN
-293,129,DOWN
-293,124,DOWN
-293,119,DOWN
-293,114,DOWN
-293,109,DOWN
-293,104,DOWN
-293,99,DOWN
-293,94,DOWN
-293,89,DOWN
-293,84,DOWN
-293,79,DOWN
-293,74,DOWN
-293,69,DOWN
-293,64,DOWN
-293,59,DOWN
-293,54,DOWN
-293,49,DOWN
-293,44,DOWN
-293,39,DOWN
-293,34,DOWN
-293,29,DOWN
-293,24,DOWN
-288,19,DOWN
-283,14,DOWN
-278,9,DOWN
-273,4,DOWN
-268,-1,DOWN
-263,-6,DOWN
-258,-11,DOWN
-253,-16,DOWN
-248,-21,DOWN
-243,-26,LEFT
-238,-26,LEFT
-233,-26,LEFT
-228,-26,LEFT
-223,-26,LEFT
-218,-26,LEFT
-213,-26,LEFT
-208,-26,LEFT
-203,-26,LEFT
-198,-26,LEFT
-193,-26,LEFT
-188,-26,LEFT
-183,-26,LEFT
-178,-26,LEFT
-173,-26,LEFT
-168,-26,LEFT
-163,-26,LEFT
-158,-26,LEFT
-153,-26,LEFT
-148,-26,LEFT
-143,-26,LEFT
-138,-26,LEFT
-133,-26,LEFT
-128,-26,LEFT
-123,-26,LEFT
-118,-26,LEFT
-113,-26,LEFT
-108,-26,LEFT
-103,-26,LEFT
-98,-26,LEFT
-93,-26,LEFT
-88,-26,LEFT
-83,-26,LEFT
-78,-26,LEFT
-73,-26,LEFT
-68,-26,LEFT
-63,-26,UP
-58,-21,UP
-53,-16,UP
-48,-11,UP
-43,-6,UP
-38,-1,UP
-33,4,UP
-28,9,UP
-23,14,UP
-18,19,LEFT
-13,19,LEFT
-55,-161,LEFT
-50,-161,LEFT
-45,-161,LEFT
-40,-161,LEFT
-35,-161,LEFT
-30,-161,LEFT
-25,-161,LEFT
-20,-161,LEFT
-15,-161,UP
-10,-156,UP
-5,-151,UP
0,-146,UP
5,-141,LEFT
10,-141,LEFT
15,-141,LEFT
20,-141,LEFT
25,-141,LEFT
30,-141,LEFT
35,-141,UP
35,-136,UP
35,-131,UP
35,-126,UP
35,-121,UP
35,-116,UP
35,-111,UP
35,-106,UP
35,-101,UP
35,-96,UP
35,-91,UP
35,-86,UP
35,-81,UP
35,-76,UP
35,-71,UP
35,-66,UP
35,-61,UP
35,-56,UP
35,-51,UP
35,-46,UP
35,-41,UP
35,-36,UP
35,-31,UP
35,-26,UP
35,-21,UP
35,-16,UP
35,-11,UP
30,-6,UP
329,137,UP
324,142,UP
319,147,UP
314,152,RIGHT
309,152,RIGHT
304,152,RIGHT
299,152,RIGHT
294,152,RIGHT
289,152,RIGHT
284,152,RIGHT
279,152,RIGHT
274,152,RIGHT
269,152,RIGHT
264,152,RIGHT
259,152,RIGHT
254,152,RIGHT
249,152,RIGHT
244,152,RIGHT
239,152,RIGHT
234,152,RIGHT
229,152,RIGHT
224,152,RIGHT
219,152,RIGHT
214,152,RIGHT
209,152,RIGHT
204,152,RIGHT
199,152,RIGHT
194,152,RIGHT
189,152,RIGHT
184,152,RIGHT
179,152,RIGHT
174,152,RIGHT
169,152,RIGHT
164,152,RIGHT
159,152,RIGHT
154,152,RIGHT
149,152,RIGHT
144,152,RIGHT
139,152,RIGHT
134,152,RIGHT
129,152,RIGHT
124,152,RIGHT
119,152,RIGHT
114,152,RIGHT
109,152,RIGHT
104,152,RIGHT
99,152,RIGHT
94,152,RIGHT
89,152,RIGHT
84,152,RIGHT
79,152,RIGHT
74,152,RIGHT
69,152,RIGHT
64,152,RIGHT
59,152,DOWN
54,147,DOWN
49,142,DOWN
44,137,DOWN
39,132,DOWN
39,127,DOWN
39,122,DOWN
39,117,DOWN
39,112,DOWN
39,107,DOWN
39,102,DOWN
39,97,DOWN
39,92,DOWN
39,87,DOWN
39,82,DOWN
39,77,DOWN
39,72,DOWN
39,67,DOWN
39,62,DOWN
39,57,DOWN
39,52,DOWN
39,47,DOWN
39,42,DOWN
39,37,DOWN
39,32,DOWN
39,27,DOWN
39,22,DOWN
39,17,DOWN
39,12,DOWN
39,7,DOWN
39,2,DOWN
39,-3,RIGHT
34,-3,RIGHT
-168,80,RIGHT
-173,80,RIGHT
-178,80,RIGHT
-183,80,RIGHT
-188,80,RIGHT
-193,80,RIGHT
-198,80,RIGHT
-203,80,RIGHT
-208,80,RIGHT
-213,80,RIGHT
-218,80,RIGHT
-223,80,RIGHT
-228,80,RIGHT
-233,80,RIGHT
-238,80,UP
-243,85,UP
-248,90,UP
-248,95,UP
-248,100,UP
-248,105,UP
-248,110,UP
-248,115,UP
-248,120,UP
-248,125,UP
-243,130,UP
-238,135,LEFT
-233,135,LEFT
-228,135,LEFT
-223,135,LEFT
-218,135,LEFT
-213,135,LEFT
-208,135,LEFT
-203,135,LEFT
-198,135,LEFT
-193,135,LEFT
-188,135,LEFT
-183,135,LEFT
-178,135,LEFT
-173,135,LEFT
-168,135,LEFT
-163,135,LEFT
-158,135,LEFT
-153,135,LEFT
-148,135,LEFT
-143,135,LEFT
-138,135,DOWN
-133,130,DOWN
-128,125,DOWN
-123,120,DOWN
-118,115,DOWN
-113,110,DOWN
-108,105,DOWN
-108,100,DOWN
-108,95,DOWN
-108,90,DOWN
-108,85,DOWN
-108,80,DOWN
-108,75,DOWN
-108,70,DOWN
-108,65,DOWN
-108,60,DOWN
-108,55,DOWN
-108,50,DOWN
-108,45,DOWN
-108,40,DOWN
-103,35,DOWN
-98,30,DOWN
-93,25,LEFT
-88,25,LEFT
-83,25,LEFT
-78,25,LEFT
-73,25,LEFT
-68,25,LEFT
-63,25,LEFT
-58,25,LEFT
-53,25,LEFT
-48,25,LEFT
-43,25,LEFT
-38,25,LEFT
-33,25,LEFT
-28,25,LEFT
-23,25,LEFT
-18,25,LEFT
-13,25,LEFT
385,-154,LEFT
390,-154,LEFT
395,-154,LEFT
400,-154,LEFT
405,-154,LEFT
410,-154,LEFT
415,-154,LEFT
420,-154,LEFT
425,-154,LEFT
430,-154,LEFT
435,-154,LEFT
440,-154,LEFT
445,-154,LEFT
450,-154,UP
450,-149,UP
450,-144,UP
450,-139,UP
450,-134,UP
450,-129,UP
450,-124,UP
450,-119,UP
450,-114,UP
450,-109,UP
450,-104,UP
450,-99,UP
450,-94,UP
445,-89,UP
440,-84,UP
435,-79,UP
430,-74,UP
425,-69,UP
420,-64,UP
415,-59,UP
410,-54,UP
405,-49,UP
400,-44,UP
395,-39,UP
390,-34,UP
385,-29,UP
380,-24,UP
375,-19,UP
370,-14,UP
365,-9,UP
360,-4,UP
355,1,RIGHT
350,1,RIGHT
345,1,RIGHT
340,1,RIGHT
335,1,RIGHT
330,1,RIGHT
325,1,RIGHT
320,1,RIGHT
315,1,RIGHT
310,1,RIGHT
305,1,RIGHT
300,1,RIGHT
295,1,RIGHT
