player_x,player_y,target_x,target_y,left,right,up,down,score
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,530,815,218,0,0,0,0,0
450,525,815,218,0,0,1,0,0
450,520,815,218,0,0,1,0,0
450,515,815,218,0,0,1,0,0
450,510,815,218,0,0,1,0,0
450,505,815,218,0,0,1,0,0
450,500,815,218,0,0,1,0,0
450,495,815,218,0,0,1,0,0
450,490,815,218,0,0,1,0,0
450,485,815,218,0,0,1,0,0
450,480,815,218,0,0,1,0,0
450,475,815,218,0,0,1,0,0
450,470,815,218,0,0,1,0,0
450,465,815,218,0,0,1,0,0
450,460,815,218,0,0,1,0,0
450,455,815,218,0,0,1,0,0
450,450,815,218,0,0,1,0,0
450,445,815,218,0,0,1,0,0
450,440,815,218,0,0,1,0,0
450,435,815,218,0,0,1,0,0
450,430,815,218,0,0,1,0,0
450,425,815,218,0,0,1,0,0
450,420,815,218,0,0,1,0,0
450,415,815,218,0,0,1,0,0
450,410,815,218,0,0,1,0,0
450,405,815,218,0,0,1,0,0
450,400,815,218,0,0,1,0,0
450,395,815,218,0,0,1,0,0
450,390,815,218,0,0,1,0,0
450,385,815,218,0,0,1,0,0
450,380,815,218,0,0,1,0,0
455,375,815,218,0,1,1,0,0
460,370,815,218,0,1,1,0,0
465,365,815,218,0,1,1,0,0
470,360,815,218,0,1,1,0,0
475,360,815,218,0,1,0,0,0
480,355,815,218,0,1,1,0,0
485,350,815,218,0,1,1,0,0
490,345,815,218,0,1,1,0,0
495,340,815,218,0,1,1,0,0
500,335,815,218,0,1,1,0,0
505,330,815,218,0,1,1,0,0
510,325,815,218,0,1,1,0,0
515,320,815,218,0,1,1,0,0
520,315,815,218,0,1,1,0,0
525,310,815,218,0,1,1,0,0
530,305,815,218,0,1,1,0,0
535,300,815,218,0,1,1,0,0
540,295,815,218,0,1,1,0,0
545,290,815,218,0,1,1,0,0
550,285,815,218,0,1,1,0,0
555,280,815,218,0,1,1,0,0
560,275,815,218,0,1,1,0,0
565,270,815,218,0,1,1,0,0
570,265,815,218,0,1,1,0,0
575,260,815,218,0,1,1,0,0
580,255,815,218,0,1,1,0,0
585,250,815,218,0,1,1,0,0
590,245,815,218,0,1,1,0,0
595,240,815,218,0,1,1,0,0
600,235,815,218,0,1,1,0,0
605,235,815,218,0,1,0,0,0
610,235,815,218,0,1,0,0,0
615,235,815,218,0,1,0,0,0
620,235,815,218,0,1,0,0,0
625,235,815,218,0,1,0,0,0
630,235,815,218,0,1,0,0,0
635,235,815,218,0,1,0,0,0
640,235,815,218,0,1,0,0,0
645,235,815,218,0,1,0,0,0
650,235,815,218,0,1,0,0,0
655,235,815,218,0,1,0,0,0
660,235,815,218,0,1,0,0,0
665,235,815,218,0,1,0,0,0
670,235,815,218,0,1,0,0,0
675,235,815,218,0,1,0,0,0
680,235,815,218,0,1,0,0,0
685,235,815,218,0,1,0,0,0
690,235,815,218,0,1,0,0,0
695,235,815,218,0,1,0,0,0
700,235,815,218,0,1,0,0,0
705,235,815,218,0,1,0,0,0
710,235,815,218,0,1,0,0,0
715,235,815,218,0,1,0,0,0
720,235,815,218,0,1,0,0,0
725,235,815,218,0,1,0,0,0
730,235,815,218,0,1,0,0,0
735,235,815,218,0,1,0,0,0
740,235,815,218,0,1,0,0,0
745,230,214,103,0,1,1,0,1
750,225,214,103,0,1,1,0,1
755,220,214,103,0,1,1,0,1
760,215,214,103,0,1,1,0,1
765,210,214,103,0,1,1,0,1
770,205,214,103,0,1,1,0,1
775,200,214,103,0,1,1,0,1
780,195,214,103,0,1,1,0,1
785,190,214,103,0,1,1,0,1
790,185,214,103,0,1,1,0,1
795,185,214,103,0,1,0,0,1
800,185,214,103,0,1,0,0,1
805,185,214,103,0,1,0,0,1
805,185,214,103,0,0,0,0,1
805,185,214,103,0,0,0,0,1
800,185,214,103,1,0,0,0,1
795,185,214,103,1,0,0,0,1
790,185,214,103,1,0,0,0,1
785,185,214,103,1,0,0,0,1
780,185,214,103,1,0,0,0,1
775,185,214,103,1,0,0,0,1
770,185,214,103,1,0,0,0,1
765,185,214,103,1,0,0,0,1
760,185,214,103,1,0,0,0,1
755,185,214,103,1,0,0,0,1
750,185,214,103,1,0,0,0,1
745,185,214,103,1,0,0,0,1
740,185,214,103,1,0,0,0,1
735,180,214,103,1,0,1,0,1
730,175,214,103,1,0,1,0,1
725,170,214,103,1,0,1,0,1
720,165,214,103,1,0,1,0,1
715,160,214,103,1,0,1,0,1
710,155,214,103,1,0,1,0,1
705,150,214,103,1,0,1,0,1
700,145,214,103,1,0,1,0,1
695,140,214,103,1,0,1,0,1
690,135,214,103,1,0,1,0,1
685,130,214,103,1,0,1,0,1
680,125,214,103,1,0,1,0,1
675,120,214,103,1,0,1,0,1
670,115,214,103,1,0,1,0,1
665,110,214,103,1,0,1,0,1
660,105,214,103,1,0,1,0,1
655,100,214,103,1,0,1,0,1
650,95,214,103,1,0,1,0,1
645,90,214,103,1,0,1,0,1
640,85,214,103,1,0,1,0,1
635,80,214,103,1,0,1,0,1
630,75,214,103,1,0,1,0,1
625,70,214,103,1,0,1,0,1
620,65,214,103,1,0,1,0,1
615,65,214,103,1,0,0,0,1
610,65,214,103,1,0,0,0,1
605,65,214,103,1,0,0,0,1
600,65,214,103,1,0,0,0,1
595,65,214,103,1,0,0,0,1
590,65,214,103,1,0,0,0,1
585,65,214,103,1,0,0,0,1
580,65,214,103,1,0,0,0,1
575,65,214,103,1,0,0,0,1
570,65,214,103,1,0,0,0,1
565,65,214,103,1,0,0,0,1
560,65,214,103,1,0,0,0,1
555,65,214,103,1,0,0,0,1
550,70,214,103,1,0,0,1,1
545,75,214,103,1,0,0,1,1
540,80,214,103,1,0,0,1,1
535,85,214,103,1,0,0,1,1
530,90,214,103,1,0,0,1,1
525,95,214,103,1,0,0,1,1
520,100,214,103,1,0,0,1,1
515,105,214,103,1,0,0,1,1
510,110,214,103,1,0,0,1,1
505,115,214,103,1,0,0,1,1
500,120,214,103,1,0,0,1,1
495,125,214,103,1,0,0,1,1
490,130,214,103,1,0,0,1,1
485,135,214,103,1,0,0,1,1
480,140,214,103,1,0,0,1,1
475,145,214,103,1,0,0,1,1
470,150,214,103,1,0,0,1,1
465,155,214,103,1,0,0,1,1
460,155,214,103,1,0,0,0,1
455,155,214,103,1,0,0,0,1
450,155,214,103,1,0,0,0,1
445,155,214,103,1,0,0,0,1
440,155,214,103,1,0,0,0,1
435,155,214,103,1,0,0,0,1
430,155,214,103,1,0,0,0,1
425,155,214,103,1,0,0,0,1
420,155,214,103,1,0,0,0,1
415,155,214,103,1,0,0,0,1
410,155,214,103,1,0,0,0,1
405,155,214,103,1,0,0,0,1
400,150,214,103,1,0,1,0,1
395,145,214,103,1,0,1,0,1
390,140,214,103,1,0,1,0,1
385,135,214,103,1,0,1,0,1
380,130,214,103,1,0,1,0,1
375,125,214,103,1,0,1,0,1
370,125,214,103,1,0,0,0,1
